name,average weight,density,재료 타입,15ml당 g
해선장,,2.2,liquid,33
굴소스,,2,liquid,30
머스타드,,2,liquid,30
땅콩버터,,2,liquid,30
다진 마늘,,1.6,vegetable,24
다진 생강,,1.6,vegetable,24
매실액,,1.6,liquid,24
홀그레인 머스타드,,1.6,liquid,24
홀스레디쉬,,1.6,liquid,24
와사비,,1.6,liquid,24
삼발,,1.6,liquid,24
두반장,,1.6,liquid,24
물엿,,1.4,liquid,21
조청,,1.4,liquid,21
치킨스톡,,1.4,powder,21
비프스톡,,1.4,powder,21
쯔유,,1.4,liquid,21
액젓,,1.2,liquid,18
춘장,,1.2,liquid,18
우스터셔,,1.2,liquid,18
액상캬라멜,,1.2,liquid,18
케찹,,1.2,liquid,18
마요네즈,,1.2,liquid,18
토마토 페이스트,,1.2,liquid,18
휘핑크림,,1.2,liquid,18
그릭 요거트,,1.2,liquid,18
토마토 소스,,1.133333333,liquid,17
물,,1,liquid,15
우유,,1,liquid,15
간장,,1,liquid,15
식초,,1,liquid,15
레몬즙,,1,liquid,15
라임즙,,1,liquid,15
맛술,,1,liquid,15
와인,,1,liquid,15
핫소스,,1,liquid,15
스리라챠,,1,liquid,15
브로스,,1,liquid,15
생크림,,1,liquid,15
사워크림,,1,liquid,15
버터,,0.9333333333,liquid,14
참기름,,0.9333333333,liquid,14
들기름,,0.9333333333,liquid,14
식용유,,0.8666666667,liquid,13
올리브유,,0.8666666667,liquid,13
바닐라 익스트랙,,0.8666666667,liquid,13
소금,,1,powder,15
설탕,,1,powder,15
미원,,1,powder,15
카레가루,,1,powder,15
치킨파우더,,1,powder,15
베이킹 소다,,1,powder,15
전분,,1,powder,15
베이킹 파우더,,0.8,powder,12
찹쌀가루,,0.8,powder,12
후추,,0.8,powder,12
고춧가루,,0.8,powder,12
다시다,,0.8,powder,12
카이엔,,0.8,powder,12
레드페퍼 플레이크,,0.8,powder,12
건고추,,0.8,powder,12
페페로치노 홀,,0.8,powder,12
파프리카 파우더,,0.8,powder,12
칠리 파우더,,0.8,powder,12
갈릭 파우더,,0.8,powder,12
강황,,0.8,powder,12
어니언 파우더,,0.8,powder,12
올스파이스,,0.8,powder,12
양꼬치시즈닝,,0.8,powder,12
오향분,,0.8,powder,12
시나몬,,0.8,powder,12
제스트,,0.6,powder,9
파마산,,0.6,powder,9
이스트,,0.6,powder,9
콘밀,,0.6,powder,9
튀김가루,,0.6,powder,9
부침가루,,0.6,powder,9
들깨가루,,0.6,powder,9
강력분,,0.5508474576,powder,
중력분,,0.5084745763,powder,
박력분,,0.423728836,powder,
아몬드 가루,,0.6,powder,9
타임,,0.4,powder,6
바질,,0.4,powder,6
넛맥,,0.4,powder,6
마조람,,0.4,powder,6
로즈마리,,0.4,powder,6
큐민 시드,,0.4,powder,6
캐러웨이 시드,,0.4,powder,6
가람 마살라,,0.4,powder,6
코리앤더,,0.4,powder,6
커피가루,,0.4,powder,6
통깨,,0.4,powder,6
오레가노,,0.2,powder,3
타라곤,,0.2,powder,3
세이지,,0.2,powder,3
딜,,0.1333333333,powder,2
파슬리 가루,,0.1333333333,powder,2
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,